SOG,Duration
12.764163,1498
8.99916,1968
14.651637,1294
12.490909,1432
13.616583,1355
16.316463,1158
12.580527,1439
13.311316,1352
14.44728,1261
13.218732,1510
14.623339,1283
11.138008,1616
12.340593,1479
14.062606,1288
10.403448,1754
11.740272,1526
15.8175,1201
13.647256,1368
11.621892,1605
16.444356,1099
13.936842,1309
14.726696,1266
11.448689,1853
13.711653,1364
11.980444,1528
12.202056,1493
8.206959,2312
10.73877,1701
12.271978,1471
14.315646,1296
10.106653,1854
12.619128,1454
10.693333,1668
14.877926,1231
14.151198,1257
15.55395,1242
15.073593,1263
13.59195,1366
11.206541,1594
13.315305,1310
14.513816,1249
10.192563,1754
12.310974,1537
12.271353,1566
15.034311,1304
12.34415,1555
11.039059,1640
12.185071,1567
10.393689,1725
15.831616,1118
14.221442,1223
15.136381,2062
13.742734,1376
17.226897,1059
15.212433,1204
17.449111,1087
10.327616,1956
10.443948,1821
15.189796,2056
13.272538,1383
15.535026,1176
15.23454,1226
13.872143,1397
14.079366,1286
14.894896,1238
9.55914,1959
12.816401,1483
17.139878,1109
10.918316,1769
17.391031,1080
12.120997,1469
13.958729,1364
16.171688,1132
11.37293,1597
14.663398,1261
8.345326,2213
15.451874,1244
10.493379,1812
13.538674,1413
14.516777,1263
13.408149,1406
13.8625,1348
13.658135,1351
16.616737,1145
12.689855,1381
9.899282,1824
12.724138,1404
11.522533,1606
11.462625,1642
14.226815,1392
15.438971,1176
14.737992,1268
14.330198,1258
12.953348,2102
13.090171,1387
8.136667,2289
15.297734,1149
17.417377,1039
13.457089,1400
10.419888,1826
13.642333,1327
13.824377,1378
11.3763,1625
9.815825,2035
9.408783,2057
13.840033,1302
14.723774,1316
7.863731,2365
14.581286,1298
11.680172,1534
13.694635,1306
14.409121,1306
13.650243,1330
10.709305,1849
14.484959,1294
13.351893,1402
14.756996,1276
12.557311,1453
12.020342,1517
13.640367,1285
10.536433,1615
12.080497,1843
12.801911,1457
12.515846,1498
15.15977,1206
10.845107,1752
11.213283,1607
12.917684,1422
11.689299,1577
11.503431,1934
11.616154,1606
12.783348,1390
10.704379,1691
13.561962,1405
10.543619,1748
13.229352,1442
14.113808,1299
14.113808,1299
14.113808,1299
13.718306,1382
10.554961,1770
12.594317,1529
12.251839,1496
14.348576,1294
14.816726,1212
12.329742,1532
16.792879,1063
15.005355,1176
17.091334,1110
10.968122,1647
13.849018,1311
15.717491,1148
11.243127,1631
13.968357,1363
13.009224,1379
10.561214,1954
12.375306,1474
11.322259,2245
12.035731,1467
15.499801,1154
15.983681,1121
14.956322,1180
11.577432,1722
10.787997,1616
12.73277,1465
10.282552,1987
10.141281,1815
15.259416,1176
15.490289,1161
12.616625,1627
12.008021,1554
13.835318,1302
