SOG,Duration
10.523799,1933
9.07873,2371
11.083723,1908
14.306535,1517
17.338863,1192
10.134733,2111
8.473604,2450
18.016971,1178
13.69657,1522
15.762717,2554
12.306838,1773
8.989973,2331
15.62536,1417
10.309403,1973
9.29962,2231
8.251931,2530
9.53437,2264
9.9125,2134
10.956468,1932
17.843995,1144
11.793376,1838
13.112247,1616
11.220952,1857
13.424177,1599
12.884514,1569
11.123459,1867
10.859111,1903
10.511382,2096
10.961894,1968
9.072102,2394
12.018783,1764
10.607314,2046
14.516951,1448
8.356971,2584
8.401255,2531
11.347442,1888
15.84303,1345
8.701274,2424
10.621221,1953
13.804069,1507
15.870211,1307
16.095258,1300
12.088415,1742
14.6031,1439
11.205536,1878
11.175985,1869
16.344268,1267
14.692413,1405
11.054722,1881
16.181219,1280
15.731483,1335
14.536969,1454
13.465264,1568
16.746834,1243
14.868876,1411
12.599219,1668
13.647502,1519
13.856055,1518
11.488126,1834
13.115385,1669
10.437165,2021
10.473469,2012
10.473668,2003
10.533488,1978
14.823961,1409
11.220975,1854
9.175099,2244
10.926359,1905
10.245429,2054
11.908322,1766
12.773094,1612
13.147854,1590
12.947365,1616
14.225601,1456
14.04781,1484
16.160705,1302
15.537303,1333
15.686866,2594
13.191982,1518
15.671399,1343
11.316972,1902
15.62536,1382
15.61082,1362
8.738045,2402
9.571305,2247
11.793376,1820
9.611474,2232
10.37139,2048
13.58038,1560
9.489362,2155
14.830662,1437
9.29962,2231
15.008075,1405
12.994949,1564
9.53437,2264
16.101977,1296
15.65932,1330
11.253859,1866
14.79707,1433
10.153959,1992
9.525808,2200
11.199171,1837
11.347442,1888
8.701274,2424
10.679558,1909
10.621221,1953
9.625798,2151
15.056778,2723
10.744444,1925
12.973103,1599
11.031525,1880
10.176176,2079
14.516951,1448
8.956174,2403
16.095258,1300
8.356971,2584
15.686866,2594
15.62536,1382
11.378216,1796
9.163305,2291
9.567713,2152
15.84303,1345
8.764943,2432
13.856055,1518
13.115385,1669
9.763363,2162
9.175099,2244
10.04502,2172
13.290966,1587
8.716237,2352
11.436412,1835
10.373413,1936
9.629683,2190
10.320453,2044
8.738045,2402
8.401255,2531
11.793376,1820
9.611474,2232
14.417177,1448
9.55032,2241
10.37139,2048
11.453728,1815
13.58038,1560
13.97942,1563
10.093377,2047
9.489362,2155
7.737672,2694
10.816605,1881
13.112247,1616
14.094157,1451
11.220952,1838
13.424177,1565
10.395223,1980
11.316972,1902
14.6031,1439
14.860666,1519
9.704345,2095
9.388878,2241
10.915564,1963
10.511382,2071
9.007471,2523
14.214984,1507
10.961894,1968
9.072102,2394
12.018783,1764
15.080016,2710
10.607314,2024
9.945786,2158
7.996979,2605
14.128196,1492
9.843912,2125
11.694855,1790
10.549304,1985
9.317544,2243
8.873696,2371
9.023228,2271
9.735112,2283
10.35392,1994
10.173782,2159
11.968571,1801
15.481233,1365
9.332413,2219
9.378407,2216
13.031654,1618
8.392661,2480
9.771592,2157
7.873767,2527
9.791614,2140
11.443558,1777
11.169848,1894
