shiptype,Length,Breadth,Draught,SOG,TotalDistance,Duration,Route,Direct
71,222,30,9.6,13.281136,379.687585,1409,ROT_HAM,1
71,196,30,9.15,13.105392,378.006725,1449,ROT_HAM,1
79,153,23,?,13.723176,357.015219,1332,ROT_HAM,1
79,330,42,12,15.888757,318.235915,1102,ROT_HAM,1
71,196,30,8.508043,10.009618,393.661051,1995,ROT_HAM,1
71,260,32,10.1,15.150889,358.736131,1213,ROT_HAM,1
79,331,42,10.7,15.101873,352.063141,1199,ROT_HAM,1
70,366,48,14.16,9.504946,362.796242,1972,ROT_HAM,1
70,210,30,10.22,10.701621,349.516286,2026,ROT_HAM,1
71,101,18,6.18,11.230484,348.629804,1671,ROT_HAM,1
79,200,31,9.33,11.866922,337.228291,1590,ROT_HAM,1
71,366,52,11.518978,6.432686,427.506382,3324,ROT_HAM,0
71,277,40,10.056911,13.927455,343.094983,1230,ROT_HAM,1
71,277,40,11.68,15.815306,350.725076,1115,ROT_HAM,1
79,332,44,11,11.426262,352.458062,1607,ROT_HAM,1
71,398,56,13.04,13.57134,322.244835,1355,ROT_HAM,1
70,210,30,10.4,15.461792,313.635325,1179,ROT_HAM,1
70,335,42,11.9,15.089342,320.87722,1237,ROT_HAM,1
79,400,58,10.602638,13.76291,352.167511,1310,ROT_HAM,1
70,199,30,9.726175,12.129544,367.294273,1988,ROT_HAM,1
79,332,44,10.1,16.140812,344.326261,1115,ROT_HAM,1
71,196,30,8.097158,14.692334,361.883346,1256,ROT_HAM,1
71,129,21,6.212772,12.931126,346.302314,1473,ROT_HAM,1
70,366,48,13.598609,9.97562,359.968122,1831,ROT_HAM,1
79,330,42,11.920372,10.803441,354.0657,1713,ROT_HAM,1
71,129,21,6.015826,13.48457,353.814149,1362,ROT_HAM,1
71,199,30,9.609574,13.760229,357.953293,1340,ROT_HAM,1
79,332,44,11.2,11.607686,338.563946,1513,ROT_HAM,1
71,196,30,8.630965,9.606204,373.937469,1957,ROT_HAM,1
74,400,58,11.9,14.86683,352.882173,1250,ROT_HAM,1
74,299,48,10.21,13.792883,381.998583,3505,ROT_HAM,1
71,210,30,7.84,12.55757,346.371767,1500,ROT_HAM,1
74,366,48,13.23,10.363626,398.195423,2006,ROT_HAM,1
70,88,13,4.82,10.03791,737.741718,9647,ROT_HAM,0
71,275,37,10.66,15.882222,350.781421,1135,ROT_HAM,1
71,366,52,12.94,15.651675,372.225932,1283,ROT_HAM,1
71,209,30,9.42,10.461152,372.138047,1819,ROT_HAM,1
70,366,48,12.66,12.445115,761.430222,6043,ROT_HAM,0
73,261,32,?,14.559529,352.942983,1225,ROT_HAM,1
72,304,40,11.76,14.274896,347.599502,1265,ROT_HAM,1
71,366,51,13.05,13.673026,349.528817,1316,ROT_HAM,1
70,119,15,6.12,11.007968,1018.843953,16868,ROT_HAM,0
71,260,32,10.66,12.869677,354.603623,1439,ROT_HAM,1
71,337,48,13.56,13.152781,335.817223,1238,ROT_HAM,1
70,90,12,4.26,9.738689,348.22702,1845,ROT_HAM,1
71,210,30,7.84,14.396983,353.742762,1389,ROT_HAM,1
71,275,37,10.66,13.105095,355.794979,1395,ROT_HAM,1
74,299,48,10.21,11.345796,372.318573,1711,ROT_HAM,1
71,369,51,13.55,9.729507,377.690713,2365,ROT_HAM,1
70,349,46,10.09,11.024147,358.67891,1695,ROT_HAM,1
70,366,51,13.47,10.675522,370.879053,2287,ROT_HAM,1
79,257,32,9.77,11.784518,350.900143,1515,ROT_HAM,1
1,368,51,12.22,8.682087,368.788411,2118,ROT_HAM,1
71,210,30,7.84,14.001179,346.834509,1285,ROT_HAM,1
70,338,46,13.03,13.014495,370.415626,2720,ROT_HAM,1
70,89,14,5.1,11.313948,380.330817,1933,ROT_HAM,1
71,397,56,13.1,11.089459,353.76996,1682,ROT_HAM,1
70,366,48,12.1,9.93527,379.175646,2403,ROT_HAM,1
71,366,51,13.05,6.863588,350.972261,2721,ROT_HAM,1
74,299,48,10.21,16.570221,324.003385,1115,ROT_HAM,1
71,337,48,13.56,7.930473,358.437596,2374,ROT_HAM,1
70,136,21,6.199248,13.219158,359.469768,1432,ROT_HAM,1
71,209,30,9.42,11.994038,380.910573,1595,ROT_HAM,1
71,366,52,12.94,15.523934,374.763805,1286,ROT_HAM,1
71,210,30,7.84,14.709385,326.578222,1248,ROT_HAM,1
71,274,40,11.21,16.235849,331.692166,1141,ROT_HAM,1
71,260,32,10.66,14.699429,326.385557,1112,ROT_HAM,1
70,366,48,12.8,13.680088,327.54568,1380,ROT_HAM,1
71,369,51,13.434347,11.023257,376.509647,2370,ROT_HAM,1
71,209,30,8.5,14.029212,364.387608,1355,ROT_HAM,1
70,291,45,13.145601,9.555739,412.31479,2228,ROT_HAM,1
71,366,52,9.623323,12.298163,366.991122,2959,ROT_HAM,1
70,82,12,3.507618,11.211548,332.260014,1567,ROT_HAM,1
70,89,12,3.86,8.070384,364.253269,2484,ROT_HAM,0
71,274,40,11.21,10.715915,374.372647,1796,ROT_HAM,1
70,334,43,11.25,14.812816,346.4888,1193,ROT_HAM,1
72,134,23,7.58,17.043694,368.677904,1112,ROT_HAM,1
79,256,32,9.34,15.727462,349.127253,1150,ROT_HAM,1
72,366,48,13.97,10.811755,291.806701,3808,ROT_HAM,1
79,336,42,13.08,10.344328,341.1609,1815,ROT_HAM,1
71,277,40,11.02,13.289414,368.040383,1563,ROT_HAM,1
72,134,23,7.58,15.292685,364.095252,1238,ROT_HAM,1
79,300,48,10.35,18.108947,374.142908,1085,ROT_HAM,1
71,274,40,11.21,11.187293,382.750267,1723,ROT_HAM,1
70,222,30,9.84,9.114739,372.714981,2093,ROT_HAM,1
70,334,43,11.25,15.925379,343.449808,1115,ROT_HAM,1
72,134,23,7.58,15.229897,365.634759,1244,ROT_HAM,1
71,366,52,12.84,10.7475,355.894113,1696,ROT_HAM,1
72,134,23,7.58,13.524686,337.043598,1306,ROT_HAM,1
74,400,59,13.55,15.412662,349.201386,1161,ROT_HAM,1
71,277,40,11.02,14.822048,350.5094,1218,ROT_HAM,1
71,274,40,11.21,13.817993,305.321464,2504,ROT_HAM,1
70,334,43,11.25,8.245607,368.738002,2306,ROT_HAM,1
70,199,32,9.67,10.405424,372.123336,1774,ROT_HAM,1
71,277,40,10.93,14.813251,368.120538,1263,ROT_HAM,1
79,300,48,10.35,16.409411,368.87654,1187,ROT_HAM,1
71,277,40,11.188445,11.360029,348.436503,1595,ROT_HAM,1
70,134,23,7.58,15.299398,354.965231,1216,ROT_HAM,1
70,222,30,9.84,9.999671,341.900605,1914,ROT_HAM,1
72,366,48,13.97,13.294063,322.900594,3651,ROT_HAM,1
70,222,30,9.111122,14.673547,354.872503,1250,ROT_HAM,1
72,210,30,10,7.732614,393.71296,2579,ROT_HAM,1
70,334,43,10.569604,12.506115,328.124969,1458,ROT_HAM,1
70,134,23,6.8,16.136386,331.398897,1205,ROT_HAM,1
71,231,31,10.52898,10.528095,357.816139,1733,ROT_HAM,1
72,134,23,7.3,14.819982,365.099457,1270,ROT_HAM,1
70,334,43,11.8,15.058795,346.162399,1190,ROT_HAM,1
79,300,48,9.568829,14.489636,365.212646,1321,ROT_HAM,1
71,366,52,11.487322,8.594483,353.3496,2124,ROT_HAM,1
71,274,40,11.670814,15.404864,360.735238,1190,ROT_HAM,1
72,210,30,10.006419,11.403041,363.128349,1642,ROT_HAM,1
70,334,43,11.071202,14.243896,345.032531,1252,ROT_HAM,1
71,400,59,10.231346,13.997401,393.399462,1457,ROT_HAM,1
71,198,30,8.760056,13.27381,363.564003,1388,ROT_HAM,1
70,334,43,10.44467,12.56245,352.468236,1501,ROT_HAM,1
72,366,48,13.5,10.565129,381.785032,2187,ROT_HAM,1
71,398,56,11.402522,14.308788,354.556336,1268,ROT_HAM,1
71,277,40,10.93,14.614821,362.193267,1281,ROT_HAM,1
72,134,23,7.58,14.626844,360.194958,1278,ROT_HAM,1
71,184,26,8.98,12.860156,356.814509,1419,ROT_HAM,1
71,184,26,8.98,16.164789,354.233923,1134,ROT_HAM,1
71,232,32,9.44,11.164612,353.028619,1609,ROT_HAM,1
70,338,46,13.03,13.47412,346.977552,1333,ROT_HAM,1
71,133,19,7.42,15.78576,327.822441,1643,ROT_HAM,1
70,210,30,10.07,12.253867,372.148227,1567,ROT_HAM,1
71,170,27,8.86,14.878312,349.856376,1238,ROT_HAM,1
70,366,51,13.48,9.820869,358.276767,1861,ROT_HAM,1
79,210,30,8.49,14.471429,367.541991,1307,ROT_HAM,1
71,231,31,10.52,12.597812,350.600306,2118,ROT_HAM,1
71,334,43,11.43,12.680247,365.007398,1432,ROT_HAM,1
79,229,32,9.51,11.730079,406.126553,2943,ROT_HAM,1
71,184,26,8.98,10.60354,356.692174,1692,ROT_HAM,1
70,261,32,?,13.655807,351.75864,1349,ROT_HAM,1
71,133,19,7.42,14.651392,360.492041,1242,ROT_HAM,1
70,222,30,9.84,9.343344,359.869493,1994,ROT_HAM,1
71,170,27,8.86,11.55035,355.01568,1584,ROT_HAM,1
79,334,44,12.58,12.332043,353.228456,1475,ROT_HAM,1
71,133,19,7.42,13.5,350.29507,1351,ROT_HAM,1
71,184,26,8.98,12.184535,375.572096,4437,ROT_HAM,1
72,366,52,12.8,12.959368,358.843168,1423,ROT_HAM,1
70,83,12,4.7,10.833727,385.210244,1872,ROT_HAM,0
71,232,32,9.44,14.252931,343.971526,1271,ROT_HAM,1
79,228,32,9.51,10.14429,362.170833,2760,ROT_HAM,1
71,184,26,8.98,11.837203,374.401433,4306,ROT_HAM,1
79,256,32,9.34,15.603433,349.522266,1154,ROT_HAM,1
71,133,19,7.42,13.061983,360.919941,1386,ROT_HAM,1
70,280,32,11.35,14.467579,352.833035,1257,ROT_HAM,1
70,210,30,10.07,10.364231,365.672145,3259,ROT_HAM,1
71,184,26,8.98,10.698724,351.498021,1758,ROT_HAM,1
70,222,32,9.564034,13.132931,354.488349,1379,ROT_HAM,1
71,133,19,7.597866,15.550725,341.19383,1243,ROT_HAM,1
74,366,48,10.610171,12.52331,356.08775,1464,ROT_HAM,1
79,334,44,12.58,13.321218,348.880754,1307,ROT_HAM,1
71,133,19,7.42,13.919806,352.513213,1363,ROT_HAM,1
71,398,56,12.55,13.383142,339.505932,1363,ROT_HAM,1
71,184,26,7.3,10.643762,329.665849,3614,ROT_HAM,1
71,184,26,8.98,9.956989,338.126083,2190,ROT_HAM,1
71,133,19,7.42,12.328131,332.83942,1594,ROT_HAM,1
70,130,22,7.16,10.836031,319.304462,1717,ROT_HAM,1
79,280,32,11.360651,13.988768,356.97192,1309,ROT_HAM,1
79,228,32,10.1,14.666856,368.948488,1280,ROT_HAM,1
70,210,30,9.441249,11.014444,381.025589,2020,ROT_HAM,1
71,184,26,8.504359,16.215843,344.187581,1121,ROT_HAM,1
71,133,19,7.699526,12.92555,350.072417,1403,ROT_HAM,1
71,184,26,8.1,16.44692,341.592446,1090,ROT_HAM,1
71,133,19,7.629739,15.020386,357.53047,1258,ROT_HAM,1
79,334,44,11.42078,16.364151,293.73137,1153,ROT_HAM,1
71,184,26,7.7,10.121597,353.757511,1814,ROT_HAM,1
71,184,26,7.7,10.121597,353.757511,1814,ROT_HAM,1
71,133,19,7.498169,11.095215,366.06005,1746,ROT_HAM,1
71,398,56,10.5,9.722966,352.403714,1883,ROT_HAM,1
79,336,42,11,13.468605,349.394183,1323,ROT_HAM,1
71,184,26,8.8,11.617924,360.560693,3779,ROT_HAM,1
71,133,19,7.206909,11.194647,362.654309,1650,ROT_HAM,1
70,366,48,13.562665,13.301704,355.92882,1381,ROT_HAM,1
79,280,32,10.94674,13.374156,354.441249,1365,ROT_HAM,1
71,184,26,8.9,13.192334,347.6705,1369,ROT_HAM,1
71,184,26,7.9,12.365155,361.251444,1475,ROT_HAM,1
79,335,42,11,16.01526,355.675356,1173,ROT_HAM,1
79,80,9,0.3,5.251236,299.891925,13480,ROT_HAM,0
9,368,51,11.93,14.537322,352.691904,1236,ROT_HAM,1
71,368,51,12.61,10.256854,286.598237,1649,ROT_HAM,1
79,210,30,8.49,13.999767,366.190382,1349,ROT_HAM,1
71,275,40,11.62,14.091231,346.30319,1283,ROT_HAM,1
71,184,26,8.98,13.42691,350.861291,1341,ROT_HAM,1
70,334,43,11.25,14.030386,358.456801,1298,ROT_HAM,1
79,336,42,13.08,15.326036,355.47953,1193,ROT_HAM,1
71,133,19,7.42,15.784302,342.617393,1152,ROT_HAM,1
70,89,13,4.41,10.336041,355.380343,1771,ROT_HAM,1
79,0,0,3.81,7.308314,401.929092,12945,ROT_HAM,0
70,199,32,9.67,5.986977,551.987678,8851,ROT_HAM,1
70,88,12,4.45,11.083202,350.127603,1638,ROT_HAM,1
70,185,32,8.51,11.078994,396.224415,3495,ROT_HAM,1
70,254,32,10.91,14.541732,351.968225,1236,ROT_HAM,1
70,87,11,3.39,9.936095,333.913569,1715,ROT_HAM,1
71,400,59,13.27,13.216566,403.326114,1556,ROT_HAM,1
70,88,13,4.85,9.201413,975.394173,8059,ROT_HAM,0
70,280,32,11.35,14.793403,348.569066,1223,ROT_HAM,1
79,200,28,9.1,12.45816,366.925262,1507,ROT_HAM,1
79,369,51,13.64,12.599792,380.138165,3010,ROT_HAM,1
70,366,48,14.2,13.373089,359.476362,1373,ROT_HAM,1
70,366,48,?,13.80338,406.536143,1608,ROT_HAM,0
72,210,30,10,9.869421,376.38051,2392,ROT_HAM,1
71,398,54,13.56,13.43989,351.241432,1378,ROT_HAM,1
70,294,40,12.76,13.087402,366.259357,8796,ROT_HAM,1
71,137,21,6.9,13.257028,342.79644,1328,ROT_HAM,1
70,200,30,8.87,11.570779,373.805571,1576,ROT_HAM,1
71,366,52,13.06,11.814702,354.990705,1524,ROT_HAM,1
70,254,32,10.91,16.857784,343.946747,1081,ROT_HAM,1
71,369,51,13.65,10.710992,354.574633,1683,ROT_HAM,1
70,334,43,12.98,14.08972,367.934065,1338,ROT_HAM,1
70,254,32,10.173369,12.458327,351.912652,1452,ROT_HAM,1
79,88,11,3.383359,7.791112,759.791915,15747,ROT_HAM,0
70,366,48,11.104077,13.104923,363.174581,1413,ROT_HAM,1
70,200,30,7.442249,13.581319,366.51325,1404,ROT_HAM,1
70,369,51,13.734064,9.608306,381.510741,2017,ROT_HAM,1
70,87,13,4.48,11.168923,325.65205,1599,ROT_HAM,1
74,400,59,13.27,14.793012,330.442418,1237,ROT_HAM,1
71,198,30,8.013244,11.619239,366.929553,1615,ROT_HAM,1
71,184,26,8.98,10.555541,372.121891,4400,ROT_HAM,1
79,369,51,13.5,12.380814,324.915043,1488,ROT_HAM,1
71,366,52,11.140402,10.514869,357.837154,1736,ROT_HAM,1
70,190,28,7.1,10.896094,393.599133,1789,ROT_HAM,1
71,184,26,7.7,10.121597,353.757511,1814,ROT_HAM,1
71,277,40,11.9,14.701002,358.557101,1250,ROT_HAM,1
71,133,19,7.002042,12.470665,360.119153,1521,ROT_HAM,1
71,184,26,7.9,12.365155,356.428832,1475,ROT_HAM,1
74,369,51,14.04,13.065914,378.659525,1506,ROT_HAM,1
71,169,27,8.94,16.239628,339.877215,3149,ROT_HAM,1
70,165,28,7.81,16.679131,358.260221,1133,ROT_HAM,1
79,334,44,12.58,14.992208,345.698346,1189,ROT_HAM,1
79,334,42,12.64,14.681362,352.433708,1239,ROT_HAM,1
70,165,28,7.81,17.599128,353.670167,1066,ROT_HAM,1
71,398,56,13.67,12.084336,356.764436,1494,ROT_HAM,1
70,165,28,7.81,17.244944,354.727329,1094,ROT_HAM,1
