TotalDistance,Duration,Direct
711.641666,11361,0
360.820021,8796,1
925.467081,9455,0
984.070427,12836,0
363.528477,1473,1
368.604407,10965,1
932.822003,13313,0
327.967498,1251,1
344.972679,4120,1
355.872889,2032,1
360.109159,1503,1
369.188206,1785,1
344.686834,1387,1
364.744196,3258,1
316.375964,2351,1
421.233529,2443,0
356.988156,1536,1
359.596921,1393,1
354.429743,1462,1
353.827738,1357,1
364.442633,1559,1
367.374807,1941,1
340.264159,1404,1
359.11572,3205,1
357.417088,1406,1
346.081625,1093,1
349.0208,5600,1
377.908997,7630,0
447.265747,9931,1
365.030202,5736,1
371.199258,3879,1
959.569949,11262,0
356.324815,8084,1
961.576655,12727,0
370.119098,5680,1
354.872423,1506,1
949.603283,13904,0
961.257751,12696,0
322.729062,1678,1
356.341365,1550,1
378.748029,1403,1
368.883801,4303,1
514.711234,6847,0
375.513948,1680,1
371.997961,3551,1
401.928874,5252,1
853.97607,13567,0
358.456801,5284,1
340.643137,5519,1
352.991882,1112,1
550.7133,17398,1
354.303197,1269,1
346.977552,6680,1
654.248432,14205,0
345.068028,6411,1
914.941998,12092,0
357.459304,1540,1
328.940043,1368,1
352.051437,1251,1
932.569783,12560,0
402.116222,2824,1
355.890479,1458,1
359.940695,1640,1
691.872964,12348,0
870.931112,11914,0
354.602387,1396,1
942.999023,12589,0
340.981839,1135,1
339.68766,1679,1
367.339726,1570,1
408.730725,14826,0
382.247394,1906,1
350.005565,1260,1
345.226171,1161,1
351.242564,1305,1
336.448849,1394,1
355.560402,1416,1
367.80797,1743,1
366.536623,1643,1
347.740433,1294,1
349.604706,1356,1
375.730392,2454,1
364.587073,1532,1
360.053427,1361,1
346.131441,1212,1
353.797925,1329,1
352.360974,1615,1
351.655977,1681,1
366.522552,2572,1
398.079683,2495,1
361.109177,1831,1
356.762192,2641,1
352.934064,1300,1
378.659525,9271,1
367.305637,1960,1
375.539159,6327,1
355.834667,8514,1
356.447412,5419,1
397.890085,14560,1
358.530332,1681,1
906.156304,12331,0
370.483593,12114,1
353.956315,3193,1
371.402698,10217,1
375.480865,6726,1
901.852141,10661,0
337.836747,2559,1
312.421444,3698,1
330.501591,8702,1
263.927814,5904,1
358.564758,1914,1
352.273824,2116,1
348.224335,1170,1
361.374016,1974,1
384.372117,1391,1
392.931727,1444,1
389.561369,1302,1
395.659709,1761,1
390.108627,1867,1
393.96259,1778,1
389.306857,1590,1
536.959496,3105,0
402.095516,2030,1
393.033066,1421,1
492.043705,3171,0
491.182684,3968,0
411.404494,1951,0
404.865206,1384,1
506.728458,6547,0
473.586155,7370,0
397.656666,1404,1
367.796715,1500,1
344.408392,2556,1
396.882685,1734,1
379.576038,1941,1
393.472417,2592,1
485.833432,7588,0
398.182865,1653,1
396.658673,1844,1
512.661422,8495,0
